anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
1,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,26,"Apr 3, 1998 to Apr 24, 1999",Original,41,43,1771505
5,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Sci-Fi",Movie,1,"Sep 1, 2001",Original,189,602,360978
6,Trigun,8.22,"Action, Adventure, Sci-Fi",TV,26,"Apr 1, 1998 to Sep 30, 1998",Manga,328,246,727252
7,Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,26,"Jul 3, 2002 to Dec 25, 2002",Original,2764,1795,111931
8,Bouken Ou Beet,6.94,"Adventure, Fantasy, Supernatural",TV,52,"Sep 30, 2004 to Sep 29, 2005",Manga,4240,5126,15001
15,Eyeshield 21,7.92,Sports,TV,145,"Apr 6, 2005 to Mar 19, 2008",Manga,688,1252,177688
16,Hachimitsu to Clover,8,"Comedy, Drama, Romance",TV,24,"Apr 15, 2005 to Sep 27, 2005",Manga,589,862,260166
17,Hungry Heart: Wild Striker,7.55,"Comedy, Slice of Life, Sports",TV,52,"Sep 11, 2002 to Sep 10, 2003",Manga,1551,4212,24172
18,Initial D Fourth Stage,8.16,"Action, Drama",TV,24,"Apr 17, 2004 to Feb 18, 2006",Manga,393,1273,173710
19,Monster,8.87,"Drama, Mystery, Suspense",TV,74,"Apr 7, 2004 to Sep 28, 2005",Manga,26,142,1013100
20,Naruto,7.99,"Action, Adventure, Fantasy",TV,220,"Oct 3, 2002 to Feb 8, 2007",Manga,599,8,2717330
21,One Piece,8.69,"Action, Adventure, Fantasy",TV,1016,"Oct 20, 1999 to ?",Manga,55,20,2168904
22,Tennis no Ouji-sama,7.86,Sports,TV,178,"Oct 10, 2001 to Mar 23, 2005",Manga,805,1246,178273
23,Ring ni Kakero 1,6.39,"Action, Sports",TV,12,"Oct 6, 2004 to Dec 15, 2004",Manga,6943,8288,4581
24,School Rumble,7.89,"Comedy, Romance",TV,26,"Oct 5, 2004 to Mar 29, 2005",Manga,756,687,320203
25,Sunabouzu,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,24,"Oct 6, 2004 to Mar 30, 2005",Manga,2167,1546,134894
26,Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,22,"Apr 17, 2003 to Sep 25, 2003",Original,990,935,239423
27,Trinity Blood,7.29,"Action, Supernatural",TV,24,"Apr 29, 2005 to Oct 28, 2005",Light novel,2591,1233,179583
28,Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,69,"Oct 12, 2004 to Mar 14, 2006",Manga,704,1992,95380
29,Zipang,7.48,"Action, Drama, Sci-Fi",TV,26,"Oct 8, 2004 to Apr 1, 2005",Manga,1778,4430,21391
30,Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,26,"Oct 4, 1995 to Mar 27, 1996",Original,204,45,1718019
31,Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,1,"Mar 15, 1997",Original,1855,889,251617
32,Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",Movie,1,"Jul 19, 1997",Original,98,177,879361
33,Kenpuu Denki Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,25,"Oct 8, 1997 to Apr 1, 1998",Manga,96,325,608800
43,Koukaku Kidoutai,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,1,"Nov 18, 1995",Manga,276,329,604276
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"Action, Drama, Romance",OVA,4,"Feb 20, 1999 to Sep 22, 1999",Manga,48,834,268621
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Action, Adventure, Comedy, Romance",TV,94,"Jan 10, 1996 to Sep 8, 1998",Manga,249,432,477389
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,Drama,Movie,1,"Dec 20, 1997",Manga,1567,2885,50732
47,Akira,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,1,"Jul 16, 1988",Manga,389,208,804581
48,.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,26,"Apr 4, 2002 to Sep 26, 2002",Original,4172,1243,178659
49,Aa! Megami-sama!,7.29,"Comedy, Romance, Supernatural",OVA,5,"Feb 21, 1993 to May 17, 1994",Manga,2542,2832,52627
50,Aa! Megami-sama! (TV),7.32,"Comedy, Romance, Supernatural",TV,24,"Jan 7, 2005 to Jul 8, 2005",Manga,2407,1392,155745
51,Tenshi Kinryouku,6.27,"Action, Drama, Romance, Supernatural",OVA,3,"May 25, 2000 to Aug 25, 2000",Manga,7564,2958,48258
52,Kidou Tenshi Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,26,"Apr 1, 2001 to Sep 23, 2001",Manga,2727,2707,57259
53,Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,24,"Apr 11, 2002 to Sep 26, 2002",Manga,3471,1839,108460
