anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
1,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,26,1998,Original,41,43,1771505
2,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Sci-Fi",Movie,1,2001,Original,189,602,360978
3,Trigun,8.22,"Action, Adventure, Sci-Fi",TV,26,1998,Manga,328,246,727252
4,Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,26,2002,Original,2764,1795,111931
5,Bouken Ou Beet,6.94,"Adventure, Fantasy, Supernatural",TV,52,2004,Manga,4240,5126,15001
6,Eyeshield 21,7.92,Sports,TV,145,2005,Manga,688,1252,177688
7,Hachimitsu to Clover,8,"Comedy, Drama, Romance",TV,24,2005,Manga,589,862,260166
8,Hungry Heart: Wild Striker,7.55,"Comedy, Slice of Life, Sports",TV,52,2002,Manga,1551,4212,24172
9,Initial D Fourth Stage,8.16,"Action, Drama",TV,24,2004,Manga,393,1273,173710
10,Monster,8.87,"Drama, Mystery, Suspense",TV,74,2004,Manga,26,142,1013100
11,Naruto,7.99,"Action, Adventure, Fantasy",TV,220,2002,Manga,599,8,2717330
12,One Piece,8.69,"Action, Adventure, Fantasy",TV,1016,1999,Manga,55,20,2168904
13,Tennis no Ouji-sama,7.86,Sports,TV,178,2001,Manga,805,1246,178273
14,Ring ni Kakero 1,6.39,"Action, Sports",TV,12,2004,Manga,6943,8288,4581
15,School Rumble,7.89,"Comedy, Romance",TV,26,2004,Manga,756,687,320203
16,Sunabouzu,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,24,2004,Manga,2167,1546,134894
17,Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,22,2003,Original,990,935,239423
18,Trinity Blood,7.29,"Action, Supernatural",TV,24,2005,Light novel,2591,1233,179583
19,Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,69,2004,Manga,704,1992,95380
20,Zipang,7.48,"Action, Drama, Sci-Fi",TV,26,2004,Manga,1778,4430,21391
21,Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,26,1995,Original,204,45,1718019
22,Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,1,1997,Original,1855,889,251617
23,Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",Movie,1,1997,Original,98,177,879361
24,Kenpuu Denki Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,25,1997,Manga,96,325,608800
