Aired,Total_Animes,Promedio,Puntaje_Minimo,Puntaje_Maximo,Desviacion_Estandar,Varianza
1917,4,5.1075,4.8,5.5,0.34769478953051147,0.12089166666666666
1918,3,5.503333333333334,5.44,5.59,0.07767453465153969,0.006033333333333239
1926,1,4.94,4.94,4.94,,
1927,1,4.79,4.79,4.79,,
1928,1,5.4,5.4,5.4,,
1929,3,5.333333333333333,4.78,5.85,0.5359415391004255,0.2872333333333329
1930,1,5.04,5.04,5.04,,
1931,2,5.02,5.01,5.03,0.014142135623730963,0.00020000000000000036
1932,1,5.02,5.02,5.02,,
1933,7,4.922857142857143,4.43,5.57,0.348124225227829,0.12119047619047622
1934,5,4.872,4.59,5.05,0.19549936061276513,0.03821999999999998
1935,4,4.5325,3.93,4.97,0.47556107213830384,0.22615833333333302
1936,1,5.05,5.05,5.05,,
1940,2,5.225,4.94,5.51,0.40305086527633194,0.1624499999999999
1941,1,5.28,5.28,5.28,,
1943,1,5.65,5.65,5.65,,
1944,1,4.88,4.88,4.88,,
1945,1,5.11,5.11,5.11,,
1956,1,6.13,6.13,6.13,,
1957,1,5.73,5.73,5.73,,
1958,3,5.29,4.56,6.07,0.7562407024221853,0.5719000000000002
1959,3,5.756666666666667,5.39,6.01,0.3251666239535251,0.10573333333333321
1960,2,5.445,4.67,6.22,1.096015510839149,1.2012500000000004
1961,1,6.06,6.06,6.06,,
1962,3,5.6933333333333325,5.15,6.54,0.7429894570808752,0.5520333333333336
1963,7,6.117142857142857,5.63,7.08,0.5296764511068457,0.28055714285714267
1964,6,5.919999999999999,4.95,6.33,0.5131861260790278,0.26335999999999987
1965,10,5.891,5.32,6.88,0.5113913482951302,0.26152111111111115
1966,11,6.093636363636364,5.45,6.85,0.42937798563207014,0.18436545454545422
1967,11,6.119999999999999,5.17,6.73,0.5626899679219457,0.31662000000000023
1968,11,6.38909090909091,4.2,7.32,0.8707175724131738,0.7581490909090907
1969,14,6.586428571428572,5.42,7.31,0.5563702024711624,0.30954780219780226
1970,15,6.239333333333334,5.37,8.29,0.6986667575427058,0.488135238095238
1971,14,6.177142857142857,5.42,7.63,0.5346951478168666,0.2858989010989008
1972,14,6.43,5.24,7.26,0.4675796929195803,0.21863076923076902
1973,20,6.332,5.53,7.37,0.48820401257541596,0.2383431578947369
1974,17,6.3999999999999995,4.56,7.59,0.6784080630417069,0.4602375000000006
1975,22,6.471818181818182,4.69,7.55,0.6513329655672524,0.4242346320346316
1976,27,6.29037037037037,4.6,7.56,0.6263599449412302,0.39232678062678084
1977,29,6.482413793103449,5.46,7.84,0.5856050300599607,0.34293325123152746
1978,34,6.639117647058823,4.62,8.1,0.8096814474506696,0.6555840463458115
1979,51,6.364313725490196,4.28,8.33,0.7864890460825524,0.6185650196078433
1980,52,6.360769230769231,3.69,8.71,0.7878684227608761,0.6207366515837105
1981,62,6.496290322580645,5.21,7.73,0.6170985357749861,0.38081060285563184
1982,57,6.3464912280701755,4.09,7.9,0.7950639938935516,0.6321267543859656
1983,57,6.533859649122807,5.15,7.81,0.6381467430490887,0.4072312656641596
1984,59,6.460677966101695,4.8,8.36,0.7050210669554237,0.4970547048509639
1985,78,6.272692307692307,2.98,8.0,0.8771036650025129,0.7693108391608404
1986,96,6.201979166666667,4.03,8.26,0.8366532574762466,0.6999886732456146
1987,109,6.179633027522936,4.39,7.91,0.7619455198341802,0.5805609751953792
1988,100,6.448099999999999,5.15,9.02,0.8137836495548602,0.6622438282828275
1989,119,6.272268907563025,3.75,8.22,0.8102347818084495,0.6564804016521858
1990,111,6.1479279279279275,4.13,8.21,0.8053617110761387,0.6486074856674859
1991,125,6.1564,3.08,7.83,0.8312023937374334,0.6908974193548394
1992,125,6.26992,3.63,8.46,0.7481110578241107,0.5596701548387099
1993,122,6.4198360655737705,4.78,8.54,0.8163018640392647,0.6663487332339783
1994,123,6.408617886178861,2.91,7.89,0.8162422145369692,0.6662513527922156
1995,112,6.723214285714286,4.66,8.35,0.7954003063625554,0.632661647361647
1996,123,6.512601626016259,3.21,8.29,0.9244802149674091,0.854663667866187
1997,118,6.51771186440678,4.07,8.67,0.8074740725291126,0.6520143778067506
1998,135,6.598666666666667,3.55,8.75,0.830236254813033,0.6892922388059713
1999,155,6.597806451612903,4.49,8.71,0.7512952201034648,0.5644445077503136
2000,134,6.579925373134329,4.57,8.76,0.8167572929530322,0.6670924755919654
2001,209,6.458277511961723,3.07,8.78,0.8301383686340461,0.6891297110783955
2002,201,6.598109452736319,3.32,8.42,0.8324346268387673,0.6929474079601978
2003,210,6.60847619047619,3.56,8.29,0.7892341160017194,0.6228904898610156
2004,237,6.632025316455696,1.85,8.87,0.8972529352779155,0.8050628298648352
2005,252,6.714365079365079,2.22,8.66,0.8205837937714787,0.6733577626003927
2006,320,6.6896875,3.33,8.94,0.8458646755675757,0.7154870493730402
2007,307,6.807524429967426,3.62,8.63,0.7765049031379674,0.6029598645973041
2008,294,6.865850340136054,4.19,8.93,0.8184133851502291,0.6698004689930572
2009,337,6.751691394658754,2.53,9.1,0.8931204257856213,0.7976640949554896
2010,346,6.679768786127167,3.88,8.61,0.9141518307007848,0.8356735695735962
