Genres,Total_Animes,Promedio,Puntaje_Minimo,Puntaje_Maximo,Desviacion_Estandar,Varianza
Action,3772,14.664634146341463,1,1016,31.72782170951782,1006.6546704309503
Adventure,1267,21.031570639305446,1,3057,105.01503968560576,11028.158560169351
Avant Garde,127,3.425196850393701,1,39,5.856104785144574,34.29396325459318
Award Winning,110,5.290909090909091,1,51,8.780028896470236,77.08890742285236
Boys Love,83,7.0,1,72,11.02878716548032,121.63414634146343
Comedy,3183,15.405592208608232,1,1818,56.27844871896595,3167.26379021328
Drama,847,10.227863046044865,1,182,15.631960291142935,244.35818254386953
Ecchi,45,5.533333333333333,1,37,6.247181182523261,39.027272727272724
Fantasy,538,11.236059479553903,1,1471,65.10542975874553,4238.7169840709485
Girls Love,12,3.3333333333333335,1,12,4.396968652757639,19.333333333333332
Gourmet,26,11.115384615384615,1,50,10.285239610536737,105.78615384615388
Horror,102,7.352941176470588,1,41,9.270038032565909,85.93360512521843
Mystery,126,10.166666666666666,1,148,15.482506257063166,239.70800000000008
Romance,161,7.608695652173913,1,164,16.167550028159607,261.3896739130437
Sci-Fi,200,7.63,1,74,12.235260848882664,149.70160804020094
Slice of Life,335,8.680597014925374,1,178,18.23752332767627,332.6072571275362
Sports,269,16.223048327137548,1,178,23.632337532292347,558.4873772401936
Supernatural,57,11.210526315789474,1,258,34.66252445370589,1201.4906015037589
Suspense,6,15.333333333333334,1,26,12.355835328567093,152.66666666666669
