Genres,Total_Animes,Promedio,Puntaje_Minimo,Puntaje_Maximo,Desviacion_Estandar,Varianza
Action,3772,6.715965005302227,2.53,9.1,0.859904650715175,0.7394360083215871
Adventure,1267,6.6183188634569845,4.3,8.78,0.7695359381946463,0.5921855601731145
Avant Garde,127,5.586299212598425,3.1,8.55,1.0870586520219983,1.1816965129358838
Award Winning,110,7.431363636363636,5.0,8.94,0.8494687787111451,0.7215972060050044
Boys Love,83,6.709879518072289,3.97,8.33,0.935013361031318,0.874249985307082
Comedy,3183,6.497313854853911,2.76,9.05,0.8333039383277991,0.6943954536326206
Drama,847,6.864167650531287,4.22,9.07,0.8769161984713251,0.7689820191414003
Ecchi,45,6.022222222222222,4.41,7.33,0.6498387523381505,0.422290404040404
Fantasy,538,6.216617100371747,3.29,8.51,0.8219269758765152,0.6755639536735135
Girls Love,12,6.470833333333334,5.01,7.71,0.8210243970833392,0.6740810606060607
Gourmet,26,6.852692307692307,4.61,8.16,1.0161399812715086,1.032540461538462
Horror,102,5.825,2.22,7.89,1.2887001279591694,1.6607480198019795
Mystery,126,6.790396825396826,4.7,8.51,0.7894812482065937,0.6232806412698413
Romance,161,6.463850931677019,2.63,8.24,0.8630440763018725,0.7448450776397524
Sci-Fi,200,6.15135,1.85,8.25,0.8959471434853724,0.8027212839195985
Slice of Life,335,6.253373134328359,3.76,8.53,0.9488390138091783,0.9002954741263742
Sports,269,6.997026022304833,3.62,8.78,0.9222543373458044,0.8505530627531488
Supernatural,57,6.352982456140351,4.64,8.62,0.8312769112986028,0.6910213032581453
Suspense,6,7.135000000000001,4.92,8.27,1.4373969528282713,2.0661099999999997
