Genres,Total_Seguidores,Promedio,Puntaje_Minimo,Puntaje_Maximo,Desviacion_Estandar,Varianza
Action,415358687,110116.30090137858,245,3744541,292571.9065480525,85598320501.16237
Adventure,53430587,42170.94475138121,280,1862270,140819.40613517136,19830105144.26234
Avant Garde,4834546,38067.291338582676,219,879361,131158.44714375236,17202538257.160484
Award Winning,25363881,230580.73636363636,720,2597495,389760.9208147725,151913575394.37936
Boys Love,4672123,56290.638554216865,569,535553,84358.31712658059,7116325668.42874
Comedy,184685289,58022.396795475965,234,2305805,145400.25849490738,21141235170.385887
Drama,98725353,116558.85832349469,285,2440369,277375.3892012756,76937106534.55913
Ecchi,1225010,27222.444444444445,863,159045,35246.63772781968,1242325471.1161618
Fantasy,17017254,31630.583643122678,280,1866038,116008.43932468386,13457957994.548855
Girls Love,549653,45804.416666666664,350,180240,52542.51969674973,2760716376.0833335
Gourmet,6267776,241068.3076923077,464,1585095,414206.672020987,171567167146.70154
Horror,8117625,79584.55882352941,340,1605359,214557.03011584157,46034719172.13014
Mystery,13848137,109905.8492063492,778,1994083,273264.5888637331,74673535526.8651
Romance,12671599,78705.58385093168,334,1242756,188241.4196600857,35434832075.64449
Sci-Fi,4554122,22770.61,260,489488,58115.2610630809,3377383568.430047
Slice of Life,11093869,33116.02686567164,248,638276,81942.32284183096,6714544272.714851
Sports,23550416,87548.01486988847,296,1870150,210676.28653998024,44384497710.275856
Supernatural,6051643,106169.17543859649,269,3713315,496700.96824235935,246711851852.89728
Suspense,958535,159755.83333333334,417,339152,152959.46500091674,23396597933.36667
